,variant,value
694,variant_a,0.0409
695,variant_a,0.0247
696,variant_a,0.0113
697,variant_a,0.0008
698,variant_a,0.071
699,variant_a,0.6016
700,variant_a,0.0034
701,variant_a,0.0021
702,variant_a,0.2268
703,variant_a,0.0014
704,variant_a,0.0
705,variant_a,0.0015
706,variant_a,0.0127
707,variant_a,0.018
708,variant_a,0.0153
709,variant_a,0.0251
710,variant_a,0.0048
711,variant_a,0.0
712,variant_a,0.0
713,variant_a,0.0144
714,variant_a,0.0
715,variant_a,0.0323
716,variant_a,0.3511
717,variant_a,0.0
718,variant_a,0.319
719,variant_a,0.0
720,variant_a,0.1805
721,variant_a,0.0342
722,variant_a,0.0
723,variant_a,0.0116
724,variant_a,0.0052
725,variant_a,0.0366
726,variant_a,0.0046
727,variant_a,0.0999
728,variant_a,0.012
729,variant_a,0.0055
730,variant_a,0.0659
731,variant_a,0.0073
732,variant_a,0.0268
733,variant_a,0.0
734,variant_a,0.1445
735,variant_a,0.0075
736,variant_a,0.0501
737,variant_a,0.8033
738,variant_a,0.0035
739,variant_a,0.0124
740,variant_a,0.0028
741,variant_a,0.1141
742,variant_a,0.0995
743,variant_a,0.4165
744,variant_a,0.1744
745,variant_a,0.001
746,variant_a,0.839
747,variant_a,0.0289
748,variant_a,0.0
749,variant_a,0.0468
750,variant_a,0.0277
751,variant_a,0.2667
752,variant_a,0.8537
753,variant_a,0.5258
754,variant_a,0.0955
755,variant_a,0.0041
756,variant_a,0.0097
757,variant_a,0.0921
758,variant_a,0.0726
759,variant_a,0.0503
760,variant_a,0.179
761,variant_a,0.0402
762,variant_a,0.0098
763,variant_a,0.0
764,variant_a,0.0479
765,variant_a,0.0
766,variant_a,0.0657
767,variant_a,0.0782
768,variant_a,0.0086
769,variant_a,0.0206
770,variant_a,0.332
771,variant_a,0.0045
772,variant_a,0.0023
773,variant_a,0.0119
774,variant_a,0.0153
775,variant_a,0.0923
776,variant_a,0.0
777,variant_a,0.0636
778,variant_a,0.0
779,variant_a,0.0297
780,variant_a,0.3308
781,variant_a,0.0022
782,variant_a,0.1793
783,variant_a,0.0876
784,variant_a,0.055
785,variant_a,0.0462
786,variant_a,0.2034
787,variant_a,0.4326
788,variant_a,0.0892
789,variant_a,0.0025
790,variant_a,0.0005
791,variant_a,0.0
792,variant_a,0.0065
793,variant_a,0.1714
794,variant_a,0.0091
795,variant_a,0.0015
796,variant_a,1.1098
